name,price_old,price_new,discount
LEGO® DC Super-Villains,230.0,23.0,10.0
LEGO® Marvel Super Heroes 2,79.0,19.75,25.0
LEGO Batman,39.0,9.75,25.0
LEGO® Worlds,130.0,26.0,20.0
DRAGON BALL XENOVERSE Super Bundle,349.0,52.35,15.0
Slime Rancher,41.01,10.25,24.99390392587174
LEGO® BATMAN™ 3: ALÉM DE GOTHAM,99.0,24.75,25.0
LEGO® NINJAGO® O Filme: Video Game,150.0,22.5,15.0
Gang Beasts,39.0,15.6,40.0
LEGO® CITY Undercover,120.0,24.0,20.0
Wobbly Life,60.42,48.33,79.99006951340616
LEGO® The Hobbit™,71.5,17.87,24.993006993006993
Rayman® Origins,59.0,19.95,33.813559322033896
Ultimate Chicken Horse,30.5,15.25,50.0
Forza Horizon 5 Edição Padrão,249.0,149.4,60.0
LEGO® Marvel's Vingadores,180.0,45.0,25.0
Forza Horizon 5 Edição Suprema,399.0,239.4,60.0
Among Us,18.45,12.91,69.97289972899729
Manual Samuel,19.0,1.9,10.0
Super Chicken Jumper,18.45,12.91,69.97289972899729
Skul: The Hero Slayer,63.04,37.82,59.99365482233503
BattleBlock Theater,30.0,7.5,25.0
Pacote de Edições Premium do Forza Horizon 4 e do Forza Horizon 5,798.0,279.3,35.0
DARKLAND 3,10.95,3.45,31.506849315068497
Clone Drone in the Danger Zone,78.82,47.29,59.99746257295103
LEGO® Star Wars™: A Saga Skywalker Edição Deluxe,279.0,111.6,40.0
Quantum Break,78.0,15.6,20.0
Super Pixel Kid,14.95,3.45,23.076923076923077
Fantasy Dash,10.95,3.45,31.506849315068497
Forza Horizon 5 Edição de Luxo,309.0,185.4,60.0
Woodle Tree Adventures,19.4,3.88,20.0
The LEGO Movie Videogame,199.0,49.75,25.0
Billy 101,18.45,14.76,80.0
Gabriels Worlds The Adventure,14.95,11.21,74.98327759197325
Adventures of Chris,54.95,13.73,24.986351228389445
Arcade Islands: Volume One,41.01,10.25,24.99390392587174
The Psychoduck,18.45,9.22,49.97289972899729
Run Sausage Run!,18.45,9.22,49.97289972899729
DEEEER Simulator: Um Jogo de Veado Corriqueiro do Cotidiano,74.95,44.97,60.0
Don't Touch this Button!,18.45,9.22,49.97289972899729
Felix The Reaper,59.95,5.99,9.991659716430359
Akuto: Showdown,31.48,7.87,25.0
A Frog's Job,18.45,9.22,49.97289972899729
Shapik: The Quest,18.45,16.6,89.9728997289973
Dragon Pinball,10.95,9.3,84.93150684931508
Clunky Hero,54.95,41.21,74.99545040946315
Conan Chop Chop,54.99,27.49,49.99090743771594
Indivisible,179.95,44.98,24.995832175604335
Rubber Bandits,37.95,15.18,40.0
Dodgeball Academia,92.45,55.47,60.0
